Track,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track
Fiel,Los Legendarios,2/4/2021,QM4TW2136314,1130,44.7,642558596,106151,40485324,64,357508658,2089382,309769907,2853555921,77,45631,2242149,0
Neverita,Bad Bunny,5/6/2022,QM6MZ2214882,1139,44.6,831868563,93211,21780286,73,181498962,1237772,87502749,985066343,36,30945,1247731,0
Infinity,Jaymes Young,6/23/2017,USAT21700859,1138,44.6,1059940209,169454,48961048,74,569314714,6558074,1889279204,22241102823,15,191784,8764483,0
Popular With Playboi Carti Madonna Music From The Hbo Original Series,The Weeknd,2/5/2021,USUG12303876,1142,44.5,812954133,137681,53947304,81,66369681,851906,71837599,797041217,147,78013,6377668,1
Adore U,Fred again..,8/11/2023,GBAHS2300908,1141,44.5,129427492,44672,48826452,71,10933079,80021,8528307,135983684,69,43488,663446,0
Numb Little Bug,Em Beihold,1/28/2022,USUM72200626,1143,44.5,360584207,68868,18801509,66,41254765,1015183,69378146,667895022,34,350811,2132903,0
Loco Contigo,DJ Snake,6/13/2019,USUG11901580,1144,44.4,822696809,141261,26970098,68,587804570,5432716,35719393,404031807,184,98937,6782620,0
Faz Um Vuk Vuk Teto Espelhado,MC Kevin o Chris,7/20/2023,BX5EU2300034,1145,44.4,222879686,26854,23489333,68,183254308,938331,22478680,315723211,16,1586,130095,1
Suicidal,YNW Melly,11/22/2019,QMCE31902585,1146,44.4,572441305,113061,13801176,67,317626075,4533617,218106950,1659032393,20,2061,2287665,1
Photo From Luka Chuppi,Karan Sehmbi,2/12/2019,INS181900313,1149,44.3,72849488,9804,2252266,54,329389939,2348757,10188221,246534268,13,646,215757,0
Sky,Playboi Carti,12/25/2020,USUM72024699,1147,44.3,710319373,209136,30701216,74,183959519,2671075,62458934,363975031,31,1582,1537393,1
Payphone,Maroon 5,1/1/2012,USUM71203347,1153,44.2,1828026153,249663,71678167,78,1051247406,7080472,49072987,397860038,58,83578,11327684,1
I Like Me Better,Lauv,5/19/2017,GBWWP1702907,1152,44.2,1784308411,157818,34910721,75,837720618,7077307,117065490,886160801,92,225675,7684583,0
Runaway,OneRepublic,5/26/2023,USUM72304684,1154,44.2,127466467,16650,19684494,67,13668402,152488,518049,9346042,57,259287,1350255,0
On My Love,Zara Larsson,9/12/2023,USSM12306769,1159,44.1,128024416,20826,60798732,7,14394570,139320,507857,8090936,73,129069,934544,0
Mujeriego,Ryan Castro,12/17/2021,COSO12100328,1158,44.1,285723562,63343,16024245,63,316060497,3601489,630242190,6484877304,32,17619,3132192,0
Miss The Rage,Trippie Redd,5/7/2021,QZJ842000983,1160,44.1,535695469,188778,26774987,6,171889127,3367746,113564973,1011224005,58,3186,1525672,1
Legends,Juice WRLD,6/22/2018,USUG11801263,1166,44.0,681282854,118639,18809173,63,186468599,1849004,21004398,157362351,16,70,1025107,1
Black Beatles,Rae Sremmurd,8/12/2016,USUM71603293,1164,44.0,972005229,186174,27470180,69,1178473071,9750786,32338631,184153973,160,37555,12673047,1
Girls Want Girls With Lil Baby,Drake,9/3/2021,USUG12104399,1168,43.9,459480135,137691,22202207,68,94845922,710635,54238635,550340528,77,1996,1506723,1
Slow Dancing In The Dark,Joji,9/12/2018,ZZOPM1800452,1167,43.9,1291244134,241882,48328259,29,576756813,6989481,252216973,1853292133,39,1059,1785813,1
Addicted,Zerb,3/29/2024,NLRD52350359,1170,43.9,63142772,7213,65806267,79,320436,6638,3088170,63352002,23,22016,512040,1
Besos Moja2,Wisin & Yandel,9/29/2022,USSD12200829,1176,43.8,416361102,48450,23910344,69,251373932,911711,158067701,1931498021,42,35473,739386,0
Wake Up In The Sky,Gucci Mane,9/14/2018,USAT21811087,1173,43.8,996942947,188378,27325666,71,614755305,5707814,50143641,424030507,40,63944,6648622,1
Chanel,Becky G,3/30/2023,USRC12300804,1175,43.8,287853890,21244,8675975,65,267142398,1552179,44289816,550080768,31,1280,546765,0
Otro Trago,Sech,4/18/2019,QM9WM1900120,1172,43.8,693061510,73605,21529712,63,1315371330,9042596,6844512,81046643,56,11331,3179632,1
Back In Blood,Pooh Shiesty,11/6/2020,USAT22007048,1180,43.7,378239461,126894,19992900,62,477876565,3072709,30522237,230352883,72,96321,1280704,1
Jugaste Y Sufr,Eslabon Armado,12/18/2020,USE7D2000268,1182,43.7,492509763,83013,10228918,70,420395103,3706590,92852948,624633508,17,244,2849462,0
Una Foto Remix,Mesita,1/5/2024,UYS642300003,1181,43.7,206001461,15932,35397476,78,45907269,307741,998400,13500000,14,11512,394118,0
Religiously,Bailey Zimmerman,3/17/2023,USWB12300537,1178,43.7,225556005,25164,10017767,73,23904394,111346,5688685,56949752,28,154327,594487,0
What Happened To Virgil,Lil Durk,3/11/2022,USQX92200954,1179,43.7,144889291,63045,7698742,59,98375891,844144,68284710,515213856,31,131447,1047166,1
Hello,Adele,10/23/2015,GBBKS1500214,1186,43.6,1550553401,140637,42531792,68,347935820,3794833,68479244,707793848,288,52436,11659524,0
Hay Lupita,Lomiiel,3/28/2024,QZHNA2429530,1187,43.6,22692011,1996,19217759,71,51510163,439315,9803472,84927420,13,1909,516845,0
Gatita,Bellakath,10/5/2022,QZPLR2286558,1184,43.6,218661601,25714,8048259,57,173995566,1354818,191009331,2353588008,8,13477,873692,0
World On Fire,Nate Smith,4/28/2023,USRN12300006,1183,43.6,100360956,15383,9521311,69,12196961,98714,6096788,57109846,19,242951,415236,0
Love You Anyway,Luke Combs,2/10/2023,US6XF2100158,1185,43.6,164507374,29896,7920265,67,47201934,291689,21357285,220946119,20,146916,624045,0
Mojabi Ghost,Tainy,6/29/2023,USA2P2331985,1188,43.5,368429447,46625,20677828,75,74049864,676666,955307,6911099,52,4683,715485,1
N95,Kendrick Lamar,5/13/2022,USUM72208963,1194,43.4,426936498,118020,24734503,74,124386115,2134071,16024927,186922543,48,13141,1452569,1
Niagara Falls Foot Or 2 With Travis Scott 21 Savage,Metro Boomin,12/2/2022,USUG12208792,1191,43.4,325654069,108296,18764224,71,21886334,217873,3,19,15,311,660445,1
Gucci Gang,Lil Pump,8/31/2017,USWB11701486,1189,43.4,648757330,66961,13429975,55,1402505864,15657910,27119678,243585831,62,13516,2724063,1
La Bebe,Yng Lvcas,12/24/2021,QZTAT2174000,1198,43.3,255707376,35404,4489095,64,132383657,926647,237343814,3229349729,4,3835,1296219,1
Bye,Peso Pluma,5/26/2023,QM6P42321186,1196,43.3,252239644,24974,6379185,65,157154307,1031138,96001756,1121997176,35,692,415733,1
Ld,Luclover,4/22/2022,QZHN42243265,1199,43.3,34621941,15846,2877860,36,4019929,89953,589943665,5720070197,1,261,539017,1
Wolves,Selena Gomez,10/25/2017,USUM71712103,1200,43.3,1358424406,123735,33188573,71,930929767,8736302,29990673,253791542,116,104652,7290982,0
Scars To Your Beautiful,Alessia Cara,11/13/2015,USUM71506811,1201,43.2,1422563654,129568,38951634,71,710718042,9930759,104484107,736544909,138,171774,113684,0
