Track,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track,isrc,spotify_id,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
Ritmo Bad Boys For Life,Black Eyed Peas,10/12/2019,USSM11912430,659,59.2,961358721,155959,47278163,65,1188737111,7547115,22305262,307352160,201,493,11191965,1,USSM11912430,4NCsrTzgVfsDo8nWyP8PPc,0.03,https://api.spotify.com/v1/audio-analysis/4NCsrTzgVfsDo8nWyP8PPc,0.72,221000.0,0.72,4NCsrTzgVfsDo8nWyP8PPc,0.0,10.0,0.24,-7.04,0.0,0.07,104.99,4.0,https://api.spotify.com/v1/tracks/4NCsrTzgVfsDo8nWyP8PPc,audio_features,spotify:track:4NCsrTzgVfsDo8nWyP8PPc,0.67,Pop
Hot Girl Bummer,blackbear,8/23/2019,USUG11902959,658,59.2,1265080733,198773,30644248,70,356598545,5539172,80730443,579006925,120,766,9785960,1,USUG11902959,6jRq8gaZhMUyy5RclRPcAf,0.125,https://api.spotify.com/v1/audio-analysis/6jRq8gaZhMUyy5RclRPcAf,0.782,188344.0,0.559,6jRq8gaZhMUyy5RclRPcAf,0.0,6.0,0.385,-7.106,0.0,0.0767,129.992,1.0,https://api.spotify.com/v1/tracks/6jRq8gaZhMUyy5RclRPcAf,audio_features,spotify:track:6jRq8gaZhMUyy5RclRPcAf,0.685,Latin
Dancing With A Stranger With Normani,Sam Smith,1/11/2019,GBUM71807386,663,59.1,1349115675,113525,53504146,71,1029803478,4717155,6690117,102120652,180,509702,9363816,0,GBUM71807386,3xgT3xIlFGqZjYW9QlhJWp,0.447,https://api.spotify.com/v1/audio-analysis/3xgT3xIlFGqZjYW9QlhJWp,0.741,171030.0,0.52,3xgT3xIlFGqZjYW9QlhJWp,1.97e-06,8.0,0.222,-7.513,1.0,0.0656,102.998,4.0,https://api.spotify.com/v1/tracks/3xgT3xIlFGqZjYW9QlhJWp,audio_features,spotify:track:3xgT3xIlFGqZjYW9QlhJWp,0.347,Indie/Alternative
Heartbreak Anniversary,Giveon,2/21/2020,USSM12000998,665,59.1,1157206056,189404,63215005,75,158131164,1488878,426830431,3272868374,191,209890,6963195,0,USSM12000998,3FAJ6O0NOHQV8Mc5Ri6ENp,0.524,https://api.spotify.com/v1/audio-analysis/3FAJ6O0NOHQV8Mc5Ri6ENp,0.449,198371.0,0.465,3FAJ6O0NOHQV8Mc5Ri6ENp,1.02e-06,0.0,0.303,-8.964,1.0,0.0791,89.087,3.0,https://api.spotify.com/v1/tracks/3FAJ6O0NOHQV8Mc5Ri6ENp,audio_features,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,0.543,Indie/Alternative
Toxic,BoyWithUke,9/10/2021,TCAFS2101442,662,59.1,690010618,145080,16730668,69,366093721,7390377,290455168,2787939961,24,61430,5582299,0,TCAFS2101442,3M214U0mwSm041GsQR3nrO,0.749,https://api.spotify.com/v1/audio-analysis/3M214U0mwSm041GsQR3nrO,0.609,168067.0,0.619,3M214U0mwSm041GsQR3nrO,0.0,11.0,0.264,-5.677,1.0,0.311,179.71,4.0,https://api.spotify.com/v1/tracks/3M214U0mwSm041GsQR3nrO,audio_features,spotify:track:3M214U0mwSm041GsQR3nrO,0.689,Hip-Hop/Rap
Tennessee Whiskey,Chris Stapleton,4/28/2015,USUM71418088,661,59.1,954073526,162233,36021163,77,1153379467,6645883,21371017,243324273,117,14374,5069348,0,USUM71418088,3fqwjXwUGN6vbzIwvyFMhx,0.205,https://api.spotify.com/v1/audio-analysis/3fqwjXwUGN6vbzIwvyFMhx,0.392,293293.0,0.37,3fqwjXwUGN6vbzIwvyFMhx,0.0096,9.0,0.0821,-10.888,1.0,0.0298,48.718,4.0,https://api.spotify.com/v1/tracks/3fqwjXwUGN6vbzIwvyFMhx,audio_features,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,0.512,Indie/Alternative
Up,Cardi B,2/4/2021,USAT22100061,664,59.1,646916214,97970,34102798,65,496850951,6266644,885852462,6912025468,173,15142,3173352,1,USAT22100061,3tNTSlc98zRMRAV4ooy6fT,0.0012,https://api.spotify.com/v1/audio-analysis/3tNTSlc98zRMRAV4ooy6fT,0.868,156945.0,0.795,3tNTSlc98zRMRAV4ooy6fT,0.0193,11.0,0.0461,-6.044,1.0,0.269,166.0,4.0,https://api.spotify.com/v1/tracks/3tNTSlc98zRMRAV4ooy6fT,audio_features,spotify:track:3tNTSlc98zRMRAV4ooy6fT,0.819,Hip-Hop/Rap
Dont Be Shy,TiÃ¯Â¿Â½Ã¯Â¿,8/12/2021,CYA112000981,670,58.9,686371118,95938,62300199,69,479721274,3066965,146674018,2298614237,130,104810,4879555,1,CYA112000981,0bI7K9Becu2dtXK1Q3cZNB,0.198,https://api.spotify.com/v1/audio-analysis/0bI7K9Becu2dtXK1Q3cZNB,0.77,140500.0,0.787,0bI7K9Becu2dtXK1Q3cZNB,0.0,11.0,0.262,-3.748,0.0,0.0583,119.986,4.0,https://api.spotify.com/v1/tracks/0bI7K9Becu2dtXK1Q3cZNB,audio_features,spotify:track:0bI7K9Becu2dtXK1Q3cZNB,0.513,Pop
Sabor Fresa,Fuerza Regida,6/22/2023,QZ9QQ2300457,668,58.9,502536183,37578,22883474,77,151406654,886902,77609922,866457165,40,2639,591279,1,QZ9QQ2300457,3kx21xR6IboC9HVdajgBoc,0.0898,https://api.spotify.com/v1/audio-analysis/3kx21xR6IboC9HVdajgBoc,0.778,156501.0,0.864,3kx21xR6IboC9HVdajgBoc,0.0,7.0,0.0901,-4.61,0.0,0.0907,130.17,3.0,https://api.spotify.com/v1/tracks/3kx21xR6IboC9HVdajgBoc,audio_features,spotify:track:3kx21xR6IboC9HVdajgBoc,0.961,Latin
Mon Love Oho,Liamsi,4/7/2023,QZMEV2363867,666,58.9,24215252,12008,950490,48,12381597,191468,229593251,3302969819,1,4445,1389350,1,QZMEV2363867,06l63fDOp1qRltZbA6r4nP,0.238,https://api.spotify.com/v1/audio-analysis/06l63fDOp1qRltZbA6r4nP,0.875,139714.0,0.827,06l63fDOp1qRltZbA6r4nP,0.505,1.0,0.0954,-7.258,1.0,0.248,140.115,4.0,https://api.spotify.com/v1/tracks/06l63fDOp1qRltZbA6r4nP,audio_features,spotify:track:06l63fDOp1qRltZbA6r4nP,0.595,Latin
