Track,Artist,Genre,Release Date,All Time Rank,Spotify Streams,Spotify Popularity,YouTube Views,TikTok Views,AirPlay Spins,Shazam Counts,Explicit Track,Isrc,Spotify_id,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_signature,Valence
Bom Diggy,Zack Knight,Pop,8/24/2017,3464,55362558,46,1292844409,45939694,495,480815,0,QM6P41715585,7Dhy1R9NmD96wfr7VJEN37,0.273,0.793,207692.0,0.777,0.0,4.0,0.144,-5.636,0.0,0.197,103.956,4.0,0.528
Live Another Day,Kordhell,Pop,8/27/2021,3470,283108875,66,147447678,1067856594,1,1365064,1,QZMEM2171029,34lfu3S4fIcKZRNXzbdbo7,0.000593,0.822,133565.0,0.981,0.748,9.0,0.0938,-1.321,1.0,0.109,115.005,4.0,0.404
Sexo Virtual,Rauw Alejandro,Pop,6/25/2021,3460,293361823,66,141862016,1336043098,1054,717742,1,USSD12100294,1lV3QHHMAQt0Kc1ioZq2MP,0.328,0.704,208292.0,0.739,1.93e-05,8.0,0.0856,-3.286,1.0,0.112,179.879,4.0,0.425
Chasin You,Morgan Wallen,Pop,4/27/2018,3466,609984789,74,255780709,142412314,162999,1494580,0,QZ22S1800006,0WiyWiJDkNCyGNqkv7NByy,0.667,0.631,205453.0,0.591,0.0,7.0,0.11,-5.806,1.0,0.0277,97.087,4.0,0.494
Ali Cabbar,Emir Can ÃÂ¯ÃÂ¿ÃÂ½ÃÂ¯ÃÂ¿ÃÂ½ÃÂ¯,Indie/Alternative,6/2/2023,3467,63442980,58,127252829,108671025,4502,224773,0,TRAUR2300024,1u9oZzM8CTeCMXsdTXaOtY,0.301,0.382,189130.0,0.357,4.52e-06,1.0,0.325,-13.345,1.0,0.0722,129.156,5.0,0.442
Clouds,BUNT.,Pop,1/12/2023,3459,149986283,63,9500978,13195696,11060,668816,0,QZTBB2202743,3zPco1u9i9bCjkG5pngR5t,0.226,0.7,158761.0,0.748,0.796,9.0,0.104,-8.16,0.0,0.0771,130.056,4.0,0.154
Let Your Boys Be Country,Jason Aldean,Pop,8/25/2023,3456,21485335,1,5878965,9858141,85293,92321,0,QMRSZ2301462,23bEisUvcSmIELLy4CMhkN,0.345,0.375,196027.0,0.75,9.15e-06,5.0,0.0943,-4.048,1.0,0.0328,178.636,3.0,0.565
Solo Me Dejaste,Grupo Marca Registrada,Indie/Alternative,7/8/2022,3454,175374235,66,236220298,146435027,104,460868,0,USDXS2202170,3K7Cn4Fusqlo19eKZb5x8S,0.563,0.606,186758.0,0.528,0.0887,7.0,0.0699,-9.947,0.0,0.0424,152.836,3.0,0.882
Like Im Gonna Lose You,Meghan Trainor,Indie/Alternative,1/9/2015,3457,1060255231,71,950074212,196304893,54682,8460234,0,USSM11408374,7MjKAV0mFiEID9WhDSSzaW,0.4,0.63,225053.0,0.53,0.0,0.0,0.177,-7.259,1.0,0.0434,108.038,3.0,0.417
Dont Give Up On Me From Five Feet Apart,Andy Grammer,R&B/Soul,2/13/2019,3463,509011250,67,220773540,685543612,9535,3377256,0,QMRSZ1802908,0fiijtFXDJ9MOVwgSaEQJ5,0.0875,0.64,196188.0,0.537,9.84e-06,0.0,0.11,-5.452,0.0,0.0282,112.868,4.0,0.0676
Talk Dirty,Jason Derulo,Latin,1/1/2013,3489,718634962,65,88651556,429272415,49011,14696611,1,USWB11302648,5l3CML2OnzfNs5RfVgbcLt,0.0348,0.76,177685.0,0.652,0.0,6.0,0.307,-7.321,1.0,0.232,100.315,4.0,0.759
Nail Tech,Jack Harlow,R&B/Soul,2/18/2022,3497,224376030,56,67524036,205572867,28104,581658,1,USAT22200223,3ioJs8DQw527GmqJIp5gZG,0.00508,0.677,206385.0,0.557,8.36e-06,1.0,0.0984,-8.409,1.0,0.0694,150.127,4.0,0.1
The Summoning,Sleep Token,Rock,1/6/2023,3484,135976140,69,37952419,14785534,3782,390413,0,GBUM72200352,0S38Oso3I9vpDXcTb7kYt9,0.00148,0.395,395716.0,0.701,0.0049,10.0,0.05,-5.471,0.0,0.0377,172.965,4.0,0.148
